brand,model,year,miles,used_car_price,past_owners,accident_reported,exterior,interior,msrp_car_price
acura,mdx,2017,100531,20998,2,0,White,Brown,50332.059
toyota,sienna,2016,91789,19998,3,1,Gray,Gray,37672.843
toyota,venza,2021,14150,32000,1,0,Blue,Black,33031.852
mercedes-benz,c-class,2018,59696,21998,2,1,White,Black,49298.378
bmw,5 series,2023,9109,45498,1,0,Gray,Black,58306.25
subaru,forester,2017,99241,14948,1,0,Black,Black,27336.667
hyundai,sonata,2016,37285,15987,1,1,Gray,Gray,25707.639
chevrolet,spark,2022,36292,13650,1,0,Gray,Black,14940.0
mercedes-benz,c-class,2015,78923,16999,4,0,Black,Black,49298.378
subaru,crosstrek,2021,7485,26300,1,0,Gray,Black,24175.0
subaru,outback,2020,69006,24323,2,0,White,Brown,29622.25
ford,f-150,2019,112327,19998,1,0,White,Gray,40747.048
nissan,versa,2016,69957,9988,2,0,White,Black,14660.625
ford,mustang,2016,96178,23495,4,1,White,Black,32520.625
ford,fusion,2018,86182,13995,2,1,White,Black,28807.941
nissan,rogue,2023,12912,23988,1,0,White,Black,26121.0
kia,sportage,2021,19216,20995,1,0,White,Black,26725.556
honda,civic,2020,20202,18995,1,0,White,Beige,22517.941
bmw,x5,2021,40745,45999,2,0,White,Black,60308.333
mercedes-benz,e-class,2020,23564,38495,1,0,Black,Black,61857.143
toyota,rav4,2021,30956,27555,1,0,Silver,Black,28789.167
mercedes-benz,e-class,2020,28678,36595,1,0,White,Black,61857.143
mercedes-benz,gle,2021,27856,41997,1,0,Black,Black,73775.455
chevrolet,malibu,2021,33251,19250,1,0,Silver,Black,25704.737
mercedes-benz,c-class,2021,28708,31154,2,0,Gray,Black,49298.378
mercedes-benz,glc,2022,5029,38235,1,0,Black,Beige,40050.0
kia,forte,2017,53043,12991,2,1,White,Black,19895.0
mercedes-benz,c-class,2016,81289,16999,3,1,Black,Black,49298.378
mercedes-benz,cla,2023,6742,37776,2,0,Gray,Black,38427.778
bmw,x3,2021,20614,31999,1,0,White,Beige,42237.5
toyota,camry,2014,89428,15998,3,1,Gray,Black,26952.895
subaru,forester,2021,32390,23749,1,1,Blue,Gray,27336.667
hyundai,tucson,2017,114309,13998,1,1,Black,Black,25970.833
volvo,xc90,2021,29141,38993,1,0,Silver,Black,50794.118
mercedes-benz,c-class,2019,49842,25163,2,0,Black,Black,49298.378
mercedes-benz,c-class,2021,15387,33009,1,0,Black,Black,49298.378
subaru,forester,2021,8879,26065,1,0,Green,Gray,27336.667
bmw,x1,2021,37595,23997,1,0,Black,Black,34383.333
mercedes-benz,c-class,2023,7663,39777,1,0,Gray,Black,49298.378
ford,f-150,2020,73920,27998,1,0,Gray,Gray,40747.048
